Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.702000,-64.008000,270.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.702000,-58.420000,90.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.956000,-77.978000,90.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.956000,-82.550000,270.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.526000,-92.710000,90.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.956000,-87.630000,270.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.716000,-82.296000,270.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",140.843000,-88.773000,270.000000,top
"C9","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",159.639000,-63.881000,270.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",159.639000,-53.086000,270.000000,top
"C11","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",140.000000,-108.712000,90.000000,top
"C12","10uF","C_1206_3216Metric_Pad1.42x1.75mm_HandSolder",140.000000,-99.060000,270.000000,top
"C13","220uF","C_Elec_6.3x7.7",127.000000,-108.204000,270.000000,top
"C14","220uF","C_Elec_6.3x7.7",127.000000,-98.425000,270.000000,top
"R1","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.702000,-53.086000,90.000000,top
"R2","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.114000,-53.086000,90.000000,top
"R3","1.5M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",143.891000,-53.086000,90.000000,top
"R4","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.114000,-77.851000,90.000000,top
"R5","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.272000,-77.851000,270.000000,top
"R6","1.5M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",149.987000,-92.964000,270.000000,top
"R7","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.956000,-92.837000,90.000000,top
"R8","10k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",155.956000,-96.901000,270.000000,top
"R9","1.5M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.526000,-96.774000,270.000000,top
"R10","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",164.592000,-59.944000,0.000000,top
"R11","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",164.592000,-78.994000,0.000000,top
"R12","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",164.592000,-97.917000,0.000000,top
"R13","22k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",138.557000,-62.103000,90.000000,top
"R14","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.018000,-68.072000,90.000000,top
"R15","20k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",150.241000,-67.945000,90.000000,top
"U1","LF353D","SOIC-8_3.9x4.9mm_P1.27mm",148.000000,-61.000000,270.000000,top
"U2","LF353D","SOIC-8_3.9x4.9mm_P1.27mm",148.000000,-85.090000,270.000000,top
"U3","L78L05_SOT89","SOT-89-3",135.000000,-108.712000,180.000000,top
"U4","L79L05_SOT89","SOT-89-3",135.000000,-99.060000,180.000000,top
